Timeline,olbi1,olbi2,olbi2r,olbi3,olbi3r,olbi4,olbi4r,olbi5,olbi6,olbi6r,olbi7,olbi8,olbi8r,olbi9,olbi9r,olbi10,olbi11,olbi11r,olbi12,olbi12r,olbi13,olbi14,olbi15,olbi16,olbi16r,Gender,Age,Education_level
16256,2,2,3,4,1,3,2,3,4,1,2,2,3,3,2,3,4,1,2,3,4,1,2,2,3,1,1968,2
16258,3,1,4,2,3,2,3,3,2,3,3,1,4,2,3,3,2,3,2,3,4,2,3,3,2,1,1974,5
16275,1,3,2,4,1,1,4,2,3,2,2,3,2,2,3,1,4,1,3,2,2,1,1,2,3,1,1979,6
16275,1,2,3,4,1,3,2,1,3,2,1,3,2,1,4,2,4,1,3,2,2,2,1,2,3,1,1975,5
16276,2,3,2,3,2,3,2,2,4,1,1,3,2,2,3,2,4,1,3,2,3,2,2,2,3,1,1988,5
16276,1,4,1,1,4,4,1,1,4,1,1,4,1,3,2,1,4,1,4,1,3,1,1,2,3,2,1977,5
16276,2,2,3,4,1,4,1,2,4,1,1,2,3,4,1,3,4,1,3,2,3,1,1,2,3,1,1983,6
16280,2,4,1,4,1,2,3,2,3,2,2,4,1,2,3,2,4,1,3,2,4,1,2,2,3,1,1981,6
16283,2,2,3,3,2,1,4,2,3,2,1,3,2,3,2,2,4,1,3,2,3,1,1,1,4,1,1970,2
16283,2,3,2,3,2,3,2,3,3,2,1,3,2,3,2,2,4,1,3,2,4,2,2,2,3,1,1959,4
16286,2,2,3,3,2,3,2,2,3,2,2,4,1,3,2,2,4,1,4,1,4,2,3,2,3,1,1976,5
16286,2,2,3,3,2,3,2,2,4,1,1,3,2,4,1,1,3,2,4,1,2,1,2,2,3,1,1979,2
16286,2,2,3,1,4,3,2,1,2,3,1,4,1,3,2,1,4,1,4,1,3,1,4,2,3,1,1974,2
16286,1,1,4,4,1,2,3,2,4,1,1,4,1,2,3,1,4,1,4,1,3,2,2,1,4,1,1973,2
16286,1,1,4,4,1,2,3,2,4,1,1,4,1,2,3,1,4,1,4,1,3,2,2,1,4,1,1973,2
16290,2,1,4,1,4,3,2,2,2,3,1,2,3,3,2,1,4,1,4,1,4,1,2,1,4,1,1977,3
16290,2,2,3,4,1,1,4,3,4,1,1,1,4,4,1,1,3,2,3,2,4,1,3,2,3,1,1972,4
16290,1,3,2,4,1,4,1,2,2,3,2,3,2,3,2,1,4,1,4,1,4,2,2,3,2,1,1980,3
16294,1,4,1,4,1,4,1,2,4,1,2,3,2,4,1,1,4,1,4,1,3,1,2,1,4,2,1979,6
16302,3,4,1,4,1,4,1,1,4,1,1,3,2,4,1,2,4,1,4,1,4,1,3,1,4,2,1985,6
16314,1,3,2,4,1,3,2,2,4,1,1,2,3,2,3,2,4,1,4,1,3,2,3,2,3,2,1975,6
16314,2,3,2,4,1,2,3,1,3,2,2,4,1,2,3,2,3,2,4,1,3,2,3,2,3,2,1982,6
16314,1,4,1,4,1,4,1,1,4,1,1,4,1,3,2,1,4,1,4,1,2,1,1,2,3,1,1976,6
16314,2,1,4,2,3,3,2,2,3,2,2,3,2,3,2,2,4,1,3,2,4,2,3,2,3,2,1976,6
16323,2,3,2,4,1,4,1,1,4,1,1,4,1,4,1,2,4,1,4,1,4,1,4,1,4,2,1972,5
16324,3,1,4,3,2,3,2,4,1,4,3,1,4,1,4,3,2,3,1,4,4,3,2,3,2,2,1980,6
16324,2,4,1,4,1,3,2,3,4,1,2,4,1,2,3,1,2,3,4,1,4,2,3,2,3,1,1973,4
16324,2,1,4,3,2,2,3,2,3,2,1,4,1,3,2,3,3,2,4,1,3,2,3,3,2,2,1968,5
16325,2,1,4,4,1,1,4,3,3,2,1,2,3,1,4,2,4,1,3,2,2,1,4,1,4,2,1964,2
16325,2,4,1,3,2,4,1,4,2,3,3,4,1,3,2,2,4,1,4,1,4,1,3,2,3,1,1969,3
16325,2,2,3,4,1,2,3,2,4,1,2,2,3,4,1,2,4,1,2,3,3,1,2,1,4,2,1970,5
16325,1,2,3,4,1,2,3,4,4,1,1,1,4,3,2,2,3,2,3,2,4,1,1,1,4,2,1970,5
16325,1,2,3,4,1,3,2,2,4,1,1,2,3,3,2,1,2,3,3,2,4,1,1,1,4,1,1966,6
16325,1,3,2,4,1,4,1,2,4,1,2,4,1,3,2,1,4,1,4,1,3,1,2,1,4,2,1961,2
16325,3,1,4,3,2,1,4,3,2,3,2,1,4,2,3,3,1,4,2,3,4,1,2,3,2,2,1982,6
16325,2,4,1,4,1,4,1,2,4,1,1,4,1,3,2,2,4,1,4,1,1,1,2,1,4,2,1966,5
16325,1,4,1,4,1,4,1,4,4,1,1,4,1,4,1,4,4,1,4,1,4,1,1,1,4,1,1958,2
16325,2,4,1,4,1,4,1,2,4,1,1,4,1,3,2,2,4,1,4,1,3,1,3,2,3,2,1979,2
16325,1,1,4,4,1,1,4,4,1,4,1,1,4,4,1,4,4,1,1,4,4,1,1,2,3,2,1974,5
