"Age","Gender","Exhaustion","Engagement"
54,1,24,19
48,1,14,24
43,1,23,12
47,1,23,12
34,1,25,16
45,2,28,11
39,1,27,15
41,1,26,17
52,1,22,13
63,1,25,18
46,1,26,19
43,1,26,13
48,1,23,15
49,1,25,13
49,1,25,13
45,1,20,14
50,1,22,17
42,1,27,17
43,2,31,13
37,2,31,16
47,2,26,16
40,2,25,17
46,1,31,10
46,2,22,19
50,2,31,16
42,2,13,25
49,1,27,19
54,2,23,19
58,2,19,16
53,1,28,21
52,2,24,15
52,2,22,15
56,1,23,12
61,2,30,13
40,2,13,21
56,2,31,12
64,1,32,17
43,2,31,16
48,2,17,18
62,2,27,18
62,2,20,18
49,1,20,19
60,2,17,15
53,2,30,16
62,1,30,16
58,1,12,19
66,1,24,13
55,2,26,12
54,2,20,17
50,2,23,15
52,2,30,16
65,2,22,20
46,2,17,21
52,1,20,25
56,2,11,17
63,1,18,22
47,2,12,25
56,1,24,12
45,1,25,19
47,2,16,20
62,1,22,17
65,2,27,15
61,1,30,14
53,2,18,22
42,2,17,18
58,1,30,14
57,1,28,15
51,2,24,23
63,1,25,11
53,2,27,12
50,1,28,20
55,2,24,22
57,2,31,19
52,1,30,17
59,2,24,16
57,1,32,17
51,1,30,18
50,2,26,12
50,2,23,21
58,2,20,19
49,2,19,19
61,2,29,13
42,2,25,15
57,2,31,13
52,2,25,14
66,1,30,17
50,2,19,14
45,2,27,17
48,2,20,19
45,2,20,13
45,2,15,22
57,2,23,15
51,2,21,18
44,2,22,16
45,2,20,20
56,2,22,13
48,2,16,22
56,2,24,16
49,2,20,19
73,1,30,21
60,1,18,16
43,2,15,20
53,2,30,8
62,1,20,18
50,1,31,12
45,2,22,16
50,2,22,18
45,2,32,15
59,2,20,15
44,2,18,18
58,2,24,11
52,2,22,17
48,2,22,17
46,2,27,14
64,2,24,14
56,1,24,20
50,2,15,21
55,2,22,22
45,1,22,18
62,2,29,14
67,1,24,18
59,2,27,13
51,2,18,18
57,2,27,13
68,1,29,12
46,1,22,23
58,1,22,9
41,2,20,18
47,2,11,19
43,1,21,16
52,2,22,19
54,2,29,20
54,2,28,12
55,2,26,17
59,2,30,16
52,2,28,16
49,2,24,11
64,2,19,19
53,1,20,15
61,2,19,12
47,2,23,22
53,1,14,22
51,2,24,18
56,2,18,22
48,1,16,19
56,2,19,23
53,2,20,22
52,2,25,16
63,2,22,21
55,2,19,16
61,1,32,13
47,2,31,12
47,2,28,13
66,1,16,20
50,2,24,21
56,2,22,18
46,1,18,18
64,1,32,18
43,2,30,12
46,2,18,23
57,2,24,21
41,2,16,20
61,1,31,13
68,1,29,10
63,1,21,17
51,1,27,13
60,2,27,17
62,1,29,13
52,2,19,18
47,2,13,24
64,2,28,12
42,2,19,22
61,2,29,16
53,1,24,17
45,2,19,21
64,1,30,15
44,2,8,25
48,2,17,20
48,2,25,23
60,2,26,16
61,1,19,17
58,2,23,9
46,2,20,16
63,2,27,14
43,2,26,15
53,2,24,12
49,1,24,14
56,2,30,20
48,2,11,31
56,2,24,13
54,2,17,19
54,2,21,19
60,2,30,15
57,2,27,21
54,2,28,14
53,2,19,20
51,2,19,15
70,2,25,17
41,1,25,14
44,1,22,14
34,1,16,21
47,1,19,19
33,1,30,12
38,1,32,20
48,1,24,17
34,1,23,18
44,1,25,16
40,2,17,23
35,1,17,19
55,2,18,12
38,2,28,16
38,1,26,11
54,1,22,19
53,1,18,21
45,1,22,15
39,1,12,24
52,1,18,18
53,1,32,20
63,2,25,19
51,1,20,19
50,2,28,18
45,2,21,21
43,1,20,21
49,2,23,18
62,1,30,10
62,1,27,12
67,2,28,17
46,1,9,27
50,1,26,17
42,2,26,15
32,2,14,17
48,1,28,11
57,1,16,17
41,2,22,16
68,2,15,15
60,1,22,20
58,1,23,18
55,1,22,16
53,1,22,16
52,1,11,23
57,1,25,19
49,1,25,14
46,1,25,16
71,1,21,16
47,1,24,17
60,2,16,19
43,2,26,18
50,2,16,20
60,1,28,14
42,1,23,15
40,2,19,20
52,2,29,13
65,1,19,10
56,2,31,14
50,2,31,15
56,1,23,15
52,1,24,18
51,2,29,17
58,2,29,11
40,1,25,15
43,2,29,14
29,1,21,15
39,1,22,15
51,2,29,23
42,2,32,32
57,2,25,16
39,2,28,16
68,1,20,15
54,2,21,20
41,1,21,15
74,2,27,9
67,2,24,14
39,1,21,19
45,2,30,14
52,1,23,18
45,1,27,16
40,1,22,12
32,2,19,16
33,2,16,19
32,2,22,16
56,2,22,18
49,2,26,11
36,2,22,15
38,1,25,15
39,2,25,17
51,1,22,20
44,2,25,19
46,2,25,17
54,1,14,18
38,2,19,14
58,1,23,15
52,2,27,14
47,1,27,13
62,2,24,15
63,2,22,17
36,1,23,17
48,1,19,20
76,1,25,11
48,2,24,14
39,2,24,12
36,2,19,21
31,2,10,23
51,2,25,16
61,1,19,19
41,2,18,15
38,2,22,11
54,1,29,27
38,1,17,23
45,1,23,18
58,2,30,14
33,2,23,17
41,2,32,23
45,1,28,12
46,2,27,12
37,2,28,14
50,2,28,13
38,2,19,13
46,1,27,11
50,2,28,13
54,2,30,16
51,2,26,17
48,2,12,21
38,1,19,13
69,2,19,18
48,2,23,19
40,1,27,15
59,1,22,17
45,1,27,10
68,1,32,13
62,2,15,15
55,1,28,16
61,2,18,22
53,2,25,13
56,1,25,13
52,2,29,12
59,1,20,19
61,1,26,13
56,2,30,24
65,1,18,13
39,1,20,19
65,2,28,11
56,1,20,21
57,1,24,18
